iter	Passed	Remaining
399	16897	25346
400	16925	25283
401	16950	25214
402	16975	25146
403	16994	25071
404	17016	24999
405	17043	24935
406	17082	24889
407	17117	24837
408	17153	24786
409	17190	24737
410	17226	24686
411	17260	24634
412	17295	24582
413	17330	24530
414	17364	24477
415	17400	24427
416	17430	24369
417	17465	24317
418	17497	24263
419	17534	24214
420	17569	24163
421	17606	24114
422	17646	24071
423	17685	24026
424	17715	23967
425	17754	23923
426	17791	23874
427	17826	23824
428	17863	23776
429	17897	23724
430	17926	23665
431	17961	23615
432	17993	23562
433	18028	23511
434	18063	23461
435	18099	23413
436	18137	23366
437	18172	23316
438	18207	23266
439	18238	23212
440	18275	23166
441	18310	23116
442	18345	23065
443	18370	23004
444	18407	22958
445	18441	22907
446	18474	22855
447	18512	22810
448	18549	22763
449	18587	22718
450	18622	22669
451	18654	22616
452	18681	22557
453	18717	22510
454	18750	22459
455	18785	22411
456	18821	22363
457	18856	22315
458	18890	22265
459	18914	22204
460	18946	22152
461	18983	22106
462	19017	22057
463	19053	22009
464	19088	21962
465	19125	21915
466	19158	21866
467	19198	21823
468	19225	21767
469	19260	21718
470	19294	21670
471	19325	21618
472	19358	21568
473	19391	21519
474	19424	21469
475	19458	21420
476	19493	21373
477	19525	21323
478	19562	21277
479	19597	21230
480	19630	21181
481	19662	21131
482	19695	21081
483	19734	21038
484	19766	20989
485	19794	20935
486	19817	20875
487	19855	20832
488	19892	20787
489	19922	20735
490	19956	20687
491	19989	20640
492	20023	20592
493	20058	20546
494	20095	20501
495	20126	20451
496	20160	20404
497	20197	20359
498	20231	20312
499	20266	20266
500	20300	20219
501	20331	20169
502	20366	20123
503	20399	20075
504	20435	20030
505	20467	19981
506	20499	19933
507	20533	19887
508	20567	19840
509	20598	19790
510	20633	19745
511	20662	19693
512	20686	19637
513	20719	19590
514	20754	19545
515	20788	19498
516	20829	19459
517	20864	19414
518	20898	19368
519	20929	19319
520	20965	19275
521	20998	19228
522	21031	19181
523	21060	19130
524	21093	19084
525	21130	19041
526	21160	18992
527	21201	18952
528	21234	18906
529	21266	18859
530	21298	18811
531	21334	18768
532	21378	18730
533	21413	18686
534	21448	18641
535	21485	18599
536	21528	18561
537	21578	18529
538	21621	18492
539	21645	18438
540	21667	18383
541	21699	18336
542	21743	18299
543	21879	18340
544	21908	18290
545	21937	18240
546	21975	18199
547	22007	18152
548	22039	18105
549	22073	18059
550	22107	18014
551	22143	17971
552	22183	17931
553	22220	17888
554	22261	17849
555	22287	17797
556	22309	17743
557	22337	17693
558	22371	17649
559	22408	17606
560	22452	17569
561	22507	17541
562	22579	17526
563	22643	17504
564	22712	17486
565	22773	17462
566	22817	17425
567	22858	17385
568	22900	17346
569	22939	17305
570	22966	17255
571	22999	17209
572	23036	17166
573	23078	17128
574	23137	17101
575	23174	17058
576	23208	17014
577	23240	16967
578	23266	16917
579	23301	16873
580	23335	16828
581	23362	16779
582	23400	16737
583	23431	16690
584	23464	16646
585	23503	16604
586	23543	16564
587	23585	16525
588	23620	16481
589	23659	16441
590	23702	16403
591	23748	16367
592	23782	16323
593	23819	16280
594	23847	16231
595	23880	16187
596	23910	16140
597	23949	16099
598	23982	16054
599	24012	16008
600	24042	15961
601	24076	15918
602	24110	15873
603	24154	15836
604	24193	15795
605	24223	15749
606	24260	15707
607	24293	15663
608	24329	15620
609	24361	15575
610	24401	15535
611	24434	15491
612	24470	15448
613	24509	15408
614	24546	15366
615	24609	15340
616	24661	15308
617	24742	15293
618	24789	15258
619	24857	15235
620	24930	15215
621	25013	15200
622	25063	15166
623	25098	15123
624	25132	15079
625	25175	15041
626	25225	15006
627	25265	14966
628	25334	14942
629	25387	14909
630	25422	14866
631	25454	14821
632	25497	14782
633	25530	14738
634	25575	14700
635	25616	14661
636	25657	14621
637	25701	14583
638	25742	14542
639	25795	14510
640	25838	14471
641	25877	14430
642	25910	14385
643	25948	14343
644	26015	14318
645	26134	14321
646	26177	14282
647	26219	14242
648	26256	14200
649	26294	14158
650	26332	14116
651	26364	14071
652	26395	14026
653	26431	13983
654	26461	13937
655	26500	13896
656	26535	13853
657	26575	13812
658	26607	13768
659	26643	13725
660	26724	13705
661	26780	13673
662	26837	13641
663	26912	13618
664	27259	13732
665	27320	13701
666	27374	13666
667	27408	13622
668	27448	13580
669	27523	13556
670	27603	13534
671	27651	13496
672	27706	13462
673	27758	13426
674	27795	13382
675	27836	13341
676	27867	13295
677	27905	13253
678	27955	13216
679	28011	13181
680	28054	13141
681	28097	13101
682	28170	13074
683	28208	13031
684	28246	12989
685	28277	12943
686	28312	12899
687	28343	12853
688	28373	12807
689	28403	12760
690	28440	12718
691	28473	12673
692	28508	12629
693	28540	12584
694	28575	12540
695	28617	12499
696	28664	12460
697	28710	12422
698	28746	12378
699	28795	12340
700	28833	12298
701	28899	12267
702	28937	12225
703	28975	12183
704	29009	12138
705	29043	12094
706	29077	12050
707	29111	12006
708	29140	11960
709	29175	11916
710	29209	11872
711	29246	11830
712	29281	11786
713	29310	11740
714	29340	11695
715	29374	11651
716	29402	11605
717	29432	11559
718	29463	11514
719	29494	11470
720	29526	11425
721	29563	11383
722	29597	11339
723	29629	11295
724	29662	11251
725	29693	11206
726	29725	11162
727	29760	11119
728	29793	11075
729	29823	11030
730	29857	10987
731	29889	10943
732	29920	10898
733	29948	10853
734	29974	10807
735	30006	10763
736	30039	10719
737	30076	10677
738	30109	10633
739	30143	10591
740	30176	10547
741	30215	10506
742	30253	10464
743	30290	10422
744	30390	10402
745	30425	10359
746	30458	10316
747	30490	10272
748	30534	10232
749	30573	10191
750	30610	10149
751	30654	10109
752	30691	10067
753	30727	10025
754	30762	9982
755	30802	9941
756	30830	9896
757	30862	9853
758	30892	9809
759	30926	9766
760	30990	9732
761	31043	9696
762	31076	9652
763	31118	9612
764	31150	9569
765	31190	9528
766	31226	9486
767	31259	9443
768	31289	9399
769	31325	9356
770	31364	9315
771	31399	9273
772	31442	9233
773	31485	9193
774	31519	9150
775	31556	9109
776	31593	9067
777	31634	9026
778	31669	8984
779	31703	8942
780	31740	8900
781	31774	8857
782	31806	8814
783	31843	8773
784	31877	8730
785	31910	8688
786	31946	8646
787	31977	8602
788	32020	8563
789	32054	8520
790	32102	8482
791	32143	8441
792	32172	8397
793	32204	8355
794	32238	8312
795	32270	8270
796	32304	8228
797	32329	8183
798	32372	8143
799	32402	8100
800	32437	8058
801	32464	8014
802	32492	7971
803	32523	7928
804	32569	7889
805	32602	7847
806	32627	7803
807	32653	7759
808	32684	7716
809	32715	7673
810	32745	7631
811	32805	7595
812	32898	7566
813	32930	7524
814	32962	7482
815	32995	7440
816	33029	7398
817	33063	7356
818	33096	7314
819	33123	7271
820	33152	7228
821	33186	7186
822	33217	7144
823	33254	7102
824	33288	7061
825	33319	7018
826	33348	6976
827	33379	6933
828	33409	6891
829	33440	6849
830	33472	6807
831	33504	6765
832	33533	6722
833	33563	6680
834	33591	6637
835	33624	6596
836	33652	6553
837	33680	6511
838	33713	6469
839	33746	6427
840	33776	6385
841	33792	6341
842	33818	6298
843	33847	6256
844	33872	6213
845	33891	6169
846	33913	6126
847	33935	6082
848	33954	6039
849	33974	5995
850	33993	5951
851	34014	5908
852	34033	5865
853	34055	5822
854	34076	5779
855	34095	5735
856	34113	5692
857	34135	5649
858	34155	5606
859	34178	5564
860	34201	5521
861	34218	5478
862	34239	5435
863	34260	5392
864	34279	5350
865	34303	5307
866	34326	5265
867	34344	5222
868	34363	5180
869	34384	5137
870	34403	5095
871	34422	5052
872	34443	5010
873	34462	4968
874	34485	4926
875	34502	4883
876	34514	4840
877	34529	4797
878	34543	4755
879	34555	4712
880	34570	4669
881	34583	4626
882	34597	4584
883	34611	4541
884	34625	4499
885	34640	4457
886	34654	4414
887	34666	4372
888	34680	4330
889	34694	4288
890	34709	4246
891	34721	4204
892	34733	4161
893	34750	4120
894	34766	4078
895	34777	4036
896	34791	3995
897	34805	3953
898	34817	3911
899	34831	3870
900	34843	3828
901	34857	3787
902	34874	3746
903	34887	3704
904	34903	3663
905	34916	3622
906	34929	3581
907	34941	3540
908	34951	3498
909	34960	3457
910	34969	3416
911	34977	3375
912	34987	3333
913	35001	3293
914	35015	3252
915	35026	3212
916	35038	3171
917	35048	3130
918	35060	3090
919	35072	3049
920	35084	3009
921	35097	2969
922	35110	2929
923	35121	2888
924	35131	2848
925	35142	2808
926	35153	2768
927	35165	2728
928	35175	2688
929	35184	2648
930	35196	2608
931	35205	2568
932	35213	2528
933	35223	2489
934	35234	2449
935	35244	2409
936	35254	2370
937	35264	2330
938	35275	2291
939	35283	2252
940	35292	2212
941	35303	2173
942	35313	2134
943	35324	2095
944	35333	2056
945	35344	2017
946	35356	1978
947	35367	1939
948	35378	1901
949	35388	1862
950	35397	1823
951	35408	1785
952	35419	1746
953	35430	1708
954	35441	1670
955	35450	1631
956	35458	1593
957	35465	1554
958	35473	1516
959	35481	1478
960	35488	1440
961	35495	1402
962	35503	1364
963	35511	1326
964	35522	1288
965	35529	1250
966	35537	1212
967	35545	1175
968	35552	1137
969	35560	1099
970	35568	1062
971	35577	1024
972	35586	987
973	35595	950
974	35604	912
975	35615	875
976	35623	838
977	35632	801
978	35641	764
979	35652	727
980	35662	690
981	35673	653
982	35684	617
983	35694	580
984	35704	543
985	35715	507
986	35726	470
987	35736	434
988	35748	397
989	35757	361
990	35766	324
991	35774	288
992	35784	252
993	35795	216
994	35805	179
995	35813	143
996	35822	107
997	35831	71
998	35840	35
999	35850	0
