iter	Logloss
0	0.6852321841	1	0.6779557512	2	0.6701756223	3	0.663468890544	0.656300013655	0.649282643766	0.643301077	07	0.637561608	08	0.629625199	09	0.6243943910	10	0.6187042711	11	0.6124504312	0.6048726452
13	0.5984563969
14	0.5928746397
15	0.5880390301
16	0.5818577073
17	0.5764746552
18	0.5716161032
19	0.5669951462
20	0.5615826715
21	0.5570674237
22	0.5526587465
23	0.5474344588
24	0.5429042157
25	0.5389335193
26	0.5349365187
27	0.5303551485
28	0.5264214683
29	0.52188525
30	0.5197620804
31	0.5163427073
32	0.5121199136
33	0.5080654434
34	0.5037002701
35	0.4998465789
36	0.4952460843
37	0.492115648
38	0.4879711964
39	0.4843095394
40	0.4808517207
41	0.477735451
42	0.47585792
43	0.4721394966
44	0.4693332324
45	0.4655675567
46	0.4624324737
47	0.4585604636
48	0.4552591382
49	0.4514872382
50	0.4480831634
51	0.4452983102
52	0.4426751281
53	0.440198014
54	0.4373132357
55	0.4353372409
56	0.4329342854
57	0.4308260391
58	0.4287350965
59	0.4268225975
60	0.4240141153
61	0.4215802551
62	0.4190037418
63	0.4158368636
64	0.4131952388
65	0.4107984476
66	0.4089017087
67	0.4069152616
68	0.4041904783
69	0.4014743699
70	0.3995221534
71	0.397657962
72	0.3955730128
73	0.393116295
74	0.3902156796
75	0.3883110695
76	0.3864892942
77	0.3851052598
78	0.3833414297
79	0.3815270603
80	0.3799440643
81	0.3785743673
82	0.3768203855
83	0.375235379
84	0.3734567653
85	0.3718245788
86	0.3702032062
87	0.3682270713
88	0.3666290856
89	0.3649673225
90	0.3640333694
91	0.3628189276
92	0.3612244505
93	0.3595855717
94	0.3576754498
95	0.3561476312
96	0.3545821868
97	0.3535598232
98	0.3519782211
99	0.3501512516
100	0.3485147096
101	0.347266568
102	0.3460102746
103	0.3448300496
104	0.3435470582
105	0.3419079045
106	0.3403244653
107	0.3385509727
108	0.3373188384
109	0.3356909706
110	0.3342951962
111	0.3325272035
112	0.3312749221
113	0.3299756423
114	0.3288074387
115	0.3272115003
116	0.3260401882
117	0.3251280092
118	0.323845867
119	0.3219851372
120	0.3209997307
121	0.3199735725
122	0.3186186834
123	0.317510626
124	0.3167698977
125	0.3156003883
126	0.3142337105
127	0.3131902491
128	0.3115198399
129	0.3107830822
130	0.3095832703
131	0.30883227
132	0132	0.309829133	0133	0.308408134	0134	0.307424135	0135	0.306068136	0136	0.3049305477
137	0.3041293108
138	0.303288031
139	0.3021208041
140	0.3011193159
141	0.2999574833
142	0.2992050735
143	0.2981176138
144	0.2967928979
145	0.2958784408
146	0.2949110087
147	0.2939598733
148	0.2930602435
149	0.2921649907
150	0.2916351818
151	0.2906223799
152	0.2897183188
153	0.2886936521
154	0.2882184021
155	0.286875256
156	0.2856451199
157	0.2850004989
158	0.2838642207
159	0.282939383
160	0.2817750923
161	0.2809699722
162	0.2802049093
163	0.2793399711
164	0.2784231233
165	0.277594379
166	0.2769875192
167	0.2761519778
168	0.2752847797
169	0.2746496491
170	0.2738682075
171	0.2730576779
172	0.272108586
173	0.2713713184
174	0.270536758
175	0.2699134209
176	0.2690233139
177	0.268207994
178	0.267546278
179	0.2668154599
180	0.2660851802
181	0.2651333769
182	0.2643625281
183	0.2633684905
184	0.2628796925
185	0.2622967598
186	0.2614729338
187	0.2608483091
188	0.2601815292
189	0.2593656731
190	0.2585892374
191	0.2579927704
192	0.2573910846
193	0.256928881
194	0.2564255566
195	0.2558325018
196	0.2551895877
197	0.2542979494
198	0.2534569736
199	0.252920157
200	0.2520251277
201	0.2514350512
202	0.2508502062
203	0.2500981526
204	0.2493617252
205	0.248889972
206	0.2483281486
207	0.2474858552
208	0.2465235004
209	0.245904153
210	0.2453491139
211	0.2447095644
212	0.2441436636
213	0.2433996405
214	0.2426088767
215	0.2416735073
216	0.2410658062
217	0.2403888199
218	0.2396551505
219	0.2390535993
220	0.2384967976
221	0.2379988743
222	0.237377555
223	0.2367679221
224	0.2359853005
225	0.2353234157
226	0.234887957
227	0.2342366145
228	0.2336536073
229	0.2329202272
230	0.2321653804
231	0.2316414151
232	0.2310449569
233	0.2305034925
234	0.2299203779
235	0.2292318226
236	0.2287090905
237	0.2281672754
238	0.2277021747
239	0.2271695276
240	0.2265437304
241	0.2259543868
242	0.225254216
243	0.2248888241
244	0.2241828915
245	0.2238928061
246	0.2234773071
247	0.2231023942
248	0.2226572499
249	0.2221568413
250	0.2217431629
251	0.2213028719
252	0.2208983543
253	0.2205388325
254	0.2201387172
255	0.2196957503
256	0.2191763154
257	0.2187837595
258	0.2183680004
259	0.2178825042
260	0.2173874099
261	0.2167837632
262	0.216387462
263	0.2159516258
264	0.2152913555
265	0.2149633568
266	0.2145662504
267	0.2140236658
268	0.2134930471
269	0.2131605807
270	0.2125828686
271	0.2121082446
272	0.2117816823
273	0.2114190319
274	0.2109236546
275	0.2104935779
276	0.2099708094
277	0.2095803231
278	0.2090094383
279	0.2086182154
280	0.2082351159
281	0.2077562493
282	0.2071508428
283	0.2067347905
284	0.2063417692
285	0.2059536137
286	0.2056057893
287	0.205273587
288	0.2047137533
289	0.204087905
290	0.2036593405
291	0.2032302277
292	0.2027662721
293	0.2023361714
294	0.2018403767
295	0.2014475914
296	0.2010554013
297	0.2005011106
298	0.2001042047
299	0.1998249434
300	0.199326942
301	0.1989875976
302	0.1985202653
303	0.1979264785
304	0.1976833682
305	0.1972574141
306	0.1967227599
307	0.196410888
308	0.196146665
309	0.1955935601
310	0.1952369453
311	0.1947986342
312	0.1943070993
313	0.1939498191
314	0.193489996
315	0.1930622426
316	0.1925227663
317	0.1922391582
318	0.1917467199
319	0.1913726847
